rn,spo
2001_1,0.033039075
2001_2,0.032232827
2001_3,0.031968368
2001_4,0.031987212
2001_5,0.031478317
2001_6,0.031827377
2001_7,0.031236607
2001_8,0.030823785
2001_9,0.03041313
2001_10,0.030483795
2001_11,0.029912362
2001_12,0.029528408
2002_1,0.029664515
2002_2,0.028114334
2002_3,0.02756747
2002_4,0.026655987
2002_5,0.02627116
2002_6,0.025860873
2002_7,0.024819908
2002_8,0.023454404
2002_9,0.02351016
2002_10,0.022273062
2002_11,0.02159812
2002_12,0.021236351
2003_1,0.020508366
2003_2,0.021359545
2003_3,0.020545857
2003_4,0.019604541
2003_5,0.019311521
2003_6,0.018334882
2003_7,0.017481224
2003_8,0.017896895
2003_9,0.01774688
2003_10,0.017070425
2003_11,0.017139936
2003_12,0.016620347
2004_1,0.016212636
2004_2,0.015914042
2004_3,0.01543435
2004_4,0.015150833
2004_5,0.014877184
2004_6,0.014427028
2004_7,0.013504464
2004_8,0.013273249
2004_9,0.013041058
2004_10,0.013109618
2004_11,0.012893629
2004_12,0.012724247
2005_1,0.012517145
2005_2,0.012514585
2005_3,0.012409961
2005_4,0.012434528
2005_5,0.012472677
2005_6,0.012072319
2005_7,0.010879018
2005_8,0.010840547
2005_9,0.010802134
2005_10,0.010103149
2005_11,0.009950662
2005_12,0.010045468
2006_1,0.010129067
2006_2,0.01023688
2006_3,0.010353993
2006_4,0.010373119
2006_5,0.010514208
2006_6,0.01075725
2006_7,0.0097433
2006_8,0.009892563
2006_9,0.010605385
2006_10,0.010731708
2006_11,0.010973146
2006_12,0.01122512
2007_1,0.011513432
2007_2,0.012130612
2007_3,0.012478551
2007_4,0.012787261
2007_5,0.012715499
2007_6,0.012660396
2007_7,0.011648109
2007_8,0.011949525
2007_9,0.011427582
2007_10,0.011412928
2007_11,0.01149277
2007_12,0.011424969
2008_1,0.011074715
2008_2,0.01012338
2008_3,0.010270136
2008_4,0.010182584
2008_5,0.010039863
2008_6,0.010031855
2008_7,0.009077264
2008_8,0.009605176
2008_9,0.00959358
2008_10,0.009258922
2008_11,0.009211544
2008_12,0.009381578
2009_1,0.009133951
2009_2,0.008992545
2009_3,0.008941803
2009_4,0.00874697
2009_5,0.008880425
2009_6,0.008944263
2009_7,0.007933012
2009_8,0.008337612
2009_9,0.008321247
2009_10,0.007775209
2009_11,0.007878334
2009_12,0.007946141
2010_1,0.007810474
2010_2,0.007931094
2010_3,0.008056191
2010_4,0.008188097
2010_5,0.008205645
2010_6,0.00833667
2010_7,0.007702463
2010_8,0.007789121
2010_9,0.007946491
2010_10,0.008106219
2010_11,0.008222887
2010_12,0.008678741
2011_1,0.0096687
2011_2,0.009086207
2011_3,0.00928731
2011_4,0.009519705
2011_5,0.009727098
2011_6,0.011900977
2011_7,0.012286074
2011_8,0.01273754
2011_9,0.013625919
2011_10,0.014618146
2011_11,0.015358356
2011_12,0.016160129
2012_1,0.016204551
2012_2,0.015606575
2012_3,0.016238764
2012_4,0.016440927
2012_5,0.017090281
2012_6,0.017325887
2012_7,0.017995878
2012_8,0.01806149
2012_9,0.018158575
2012_10,0.01909993
2012_11,0.018894224
2012_12,0.021442664
2013_1,0.019683554
2013_2,0.020036692
2013_3,0.020929855
2013_4,0.02121669
2013_5,0.019226851
2013_6,0.018670832
2013_7,0.019045841
2013_8,0.01822858
2013_9,0.019973355
2013_10,0.019013566
2013_11,0.017417846
2013_12,0.016766097
2014_1,0.016378056
2014_2,0.016590554
2014_3,0.016907221
2014_4,0.016602687
2014_5,0.017291832
2014_6,0.017341858
2014_7,0.017707043
2014_8,0.018135099
2014_9,0.018348294
2014_10,0.018469376
2014_11,0.019840054
2014_12,0.021194988
2015_1,0.02207832
2015_2,0.022373625
2015_3,0.022769572
2015_4,0.02292028
2015_5,0.023986394
2015_6,0.026979235
2015_7,0.024969288
2015_8,0.028696761
2015_9,0.024162
2015_10,0.025140166
2015_11,0.026789434
2015_12,0.028576855
